title,description,artist,genre,link,spotifyid,,,,,
Round,Funky and avant-garde dance track.,"Two Shell,Sugababes","UK garage, experimental",https://open.spotify.com/track/7r1gaUJMOm7NPLOM7KUtSU,7r1gaUJMOm7NPLOM7KUtSU,,,,,
Watch Her Dance,"The lo-fi synth, the deep bass kicks and deep vocals come together into something so powerful!",Julie Pavon,Indie Pop,https://open.spotify.com/track/5lQbXWWHEy6uooXsRK4Jh4,5lQbXWWHEy6uooXsRK4Jh4,,,,,
you'll come back,Fast-paced and captivating beats and nostalgic.,jigitz,Deep House,https://open.spotify.com/track/12AUL8xZVqnq75tvmZs085,12AUL8xZVqnq75tvmZs085,,,,,
PULL UP,Quirky and catchy hyperpop/hiphop,Internet Girl,Hyperpop,https://open.spotify.com/track/35wqLh4Ht76d4YIUU2oNXq,35wqLh4Ht76d4YIUU2oNXq,,,,,
mr useless,What a great hook! It just comes in and catches you at the right time.,"Shygirl,SG Lewis,Club Shy",Alternative R&B,https://open.spotify.com/track/1HogDCzANgKv9mE8MgeYKg,1HogDCzANgKv9mE8MgeYKg,,,,,
May Ninth,"The deliberateness with the guitar, drums and bass push and pull perfectly to create this timelessly beautiful track.",Khruangbin,Neo-Psychedelic,https://open.spotify.com/track/5yVGW2o9LXaiiS4I3HUM3k,5yVGW2o9LXaiiS4I3HUM3k,,,,,
Gentle,"Very difficult one to discuss, just because of how much there is in this track. It's really the complexity that wows me.",Naima Bock,Art Folk,https://open.spotify.com/track/6HVgufmle8q0m16Iys0Poh,6HVgufmle8q0m16Iys0Poh,,,,,
stick of gum,"It's amazing seeing how quickly Nemahsis, a Palestinian-Canadian musical genius, is coming into her own and building a name for her self-- this song demonstrates real mastery of music. ",Nemahsis,Indie Pop,https://open.spotify.com/track/7DvOMvKBZESff6Etf0v9MY,7DvOMvKBZESff6Etf0v9MY,,,,,
Hell of a Ride,Layered and emotive indie track.,Nourished by Time,Indie Rock,https://open.spotify.com/track/09P99kOfM2P7w3DN3eL1uz,09P99kOfM2P7w3DN3eL1uz,,,,,
Mivé Temoin,One of the catchiest songs I've ever heard. These musicians are incredible!,"Meta Beya,Feza Shamamba",Afrobeat,https://open.spotify.com/track/1c39IzdDmUFKJPPHpUNfJo,1c39IzdDmUFKJPPHpUNfJo,,,,,
Shadow of a Doubt,Ireland has become one of the leaders in punk largely due to SPRINTS; this song captures the spirit of the scene so perfectly!,SPRINTS,Irish Post-Punk,https://open.spotify.com/track/1ztIebjhmfFdYPhH4m6ORE,1ztIebjhmfFdYPhH4m6ORE,,,,,
Dream of Me,Dreamy and introspective rock sound.,NewDad,Irish Shoegaze,https://open.spotify.com/track/6isjxsCiPOE57WMrd8WVMM,6isjxsCiPOE57WMrd8WVMM,,,,,
Floorboards,Raw and heartfelt folk melodies.,Callum Orr,Indie Folk,https://open.spotify.com/track/1vbehvv6lUVkgaCLFMfw7q,1vbehvv6lUVkgaCLFMfw7q,,,,,
